comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,id
你這種人活該被全網公審，爛人一個。,1,0,0,0,0,0,0
這智商連狗都嫌棄，別出來丟人現眼了。,1,0,0,0,0,0,1
給我滾回你洞裡去，不想再看到你留言。,1,0,0,0,0,0,2
你講話像沒洗澡的猴子，臭不可聞。,1,0,0,0,0,0,3
整天嘴砲，有種出來面對現實啊。,1,0,0,0,0,0,4
你怎麼不去撞牆死一死，活著也是浪費資源。,1,1,0,0,0,0,5
像你這種人被打都剛好而已。,1,1,0,0,0,0,6
看你這嘴臉就想直接揍下去，超噁心。,1,1,0,0,0,0,7
如果我看到你，保證讓你爬不出醫院。,1,1,0,0,0,0,8
你這廢物根本沒資格活著，去死吧。,1,1,0,0,0,0,9
講話這麼淫穢，你爸媽知道你這樣嗎？,1,0,1,0,0,0,10
妳那副騷樣，看了就想吐，真夠下流的。,1,0,1,0,0,0,11
你腦袋只裝A片嗎？整天發這種文。,1,0,1,0,0,0,12
就你這德性只會舔、跪、舔，廢物一個。,1,0,1,0,0,0,13
連發春都不會，你還當人？,1,0,1,0,0,0,14
小心你哪天走在路上被人教訓，真的不要太囂張。,1,0,0,1,0,0,15
我已經知道你是誰了，小心別出事。,1,0,0,1,0,0,16
再嘴一句我就找人處理你，別懷疑我講真的。,1,0,0,1,0,0,17
不要以為躲在螢幕後我就找不到你。,1,0,0,1,0,0,18
你要是再留言，我真的會動手。,1,0,0,1,0,0,19
你這種人只配跟垃圾做朋友。,1,0,0,0,1,0,20
笑死，這種程度還敢出來現？根本社會底層。,1,0,0,0,1,0,21
你長那樣還敢發自拍？臉皮有多厚啊？,1,0,0,0,1,0,22
你這樣也能當主管？公司真是沒人了。,1,0,0,0,1,0,23
整天只會出一張嘴，廢物點滿。,1,0,0,0,1,0,24
原住民就只會伸手牌，一點競爭力都沒有。,1,0,0,0,0,1,25
台女不就這樣，拜金又雙標，噁心死了。,1,0,0,0,0,1,26
同性戀都該去看精神科，病態又自戀。,1,0,0,0,0,1,27
東南亞移工來台只會佔便宜、製造問題。,1,0,0,0,0,1,28
穆斯林來台灣就是一堆麻煩，趕快滾回去。,1,0,0,0,0,1,29
